qid,entity,domain,kind,decile,pageviews_12m,sitelinks,article_len,in_v1,source,flags
,Adam Jankowcki,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 6}"
,Agnieszka Gajka,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 3, ""tok_11b"": 7}"
,Agnieszka Wieczoricki,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 5, ""tok_11b"": 10}"
,Alicja Czarnieckiowiak,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 5, ""tok_11b"": 9}"
,Andrzej Rokka,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 3, ""tok_11b"": 5}"
,Andrzej Zielińewski,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 6, ""tok_11b"": 8}"
,Antoni Habek,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 3, ""tok_11b"": 4}"
,Antoni Lewandowak,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 6}"
,Barbara Kamińcki,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 6}"
,Bartosz Dudaiński,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 6}"
,Bartosz Kęsko,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 3, ""tok_11b"": 5}"
,Bogdan Dylo,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 3, ""tok_11b"": 4}"
,Bogdan Głowackiek,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 7}"
,Cezary Jankowecki,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 8}"
,Cezary Pawłowicki,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 9}"
,Damian Jaśko,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 5}"
,Danuta Habek,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 4, ""tok_11b"": 4}"
,Dawid Kota,athletes,fabricated,-1,0,0,0,False,fabricated,"{""tok_1.5b"": 3, ""tok_11b"": 4}"
