qid,entity,domain,kind,decile,pageviews_12m,sitelinks,article_len,in_v1,source,flags
Q140180770,Kazimierz Graczyk,athletes,real,0,15,1,2297,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180750,Wiesław Zwitek,athletes,real,0,16,1,2042,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180759,Henryk Laskowski,athletes,real,0,14,1,2036,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180806,Walerian Dusik,athletes,real,0,13,1,2047,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180872,Piotr Zander (bokser),athletes,real,0,15,1,1942,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180912,Dariusz Jędruszko,athletes,real,0,9,1,2059,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180418,Adam Lejkam,athletes,real,0,22,1,1987,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180934,Andrzej Charmułowicz,athletes,real,0,12,1,2033,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180250,Stefan Głowacki (bokser),athletes,real,0,30,1,2510,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180293,Bronisław Mirynowski,athletes,real,0,18,1,1835,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180779,Jan Paszkowski,athletes,real,0,16,1,2204,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180862,Jan Siekanowicz,athletes,real,0,5,1,2222,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180703,Józef Drucis,athletes,real,0,24,1,2633,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q3813298,Katarzyna Kuźniak,athletes,real,0,44,3,1505,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q139819088,Edward Witkowski (bokser),athletes,real,0,11,1,2081,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180086,Jerzy Patora,athletes,real,0,27,1,2714,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180737,Bogdan Wilk,athletes,real,0,36,1,2051,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180758,Zygmunt Sendrowicz,athletes,real,0,9,1,2004,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180385,Karol Kwiatkowski (lekkoatleta),athletes,real,0,42,1,4621,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180699,Ryszard Dudczak,athletes,real,0,7,1,2047,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180746,Zygmunt Świś,athletes,real,0,14,1,2206,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180910,Bogdan Więcek,athletes,real,0,51,1,1917,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180267,Stanisław Finkelsztajn,athletes,real,0,34,1,2410,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180178,Artur Danziger,athletes,real,0,33,1,1941,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180481,Jan Choina (bokser),athletes,real,0,30,1,2709,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180185,Jerzy Zając (bokser),athletes,real,0,17,1,1801,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180260,Józef Łuka,athletes,real,0,27,1,2098,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180590,Jerzy Mikołajczewski,athletes,real,0,13,1,2190,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180856,Joachim Sołtysik,athletes,real,0,8,1,1977,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180259,Józef Frączek (bokser),athletes,real,0,26,1,2027,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q19886527,Marian Guzy,athletes,real,1,100,1,4044,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q22344764,Andrzej Ryniak,athletes,real,1,91,1,3720,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q3522047,Jason Krejza,athletes,real,1,113,8,3607,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q48844811,Daria Stelmach,athletes,real,1,70,1,2502,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q21501714,Mirosława Pabijasz,athletes,real,1,108,2,2504,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q24430121,Magdalena Cisek,athletes,real,1,76,1,2385,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11697466,Ewelina Skoczylas,athletes,real,1,91,1,1701,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11708832,Helena Stachowicz,athletes,real,1,81,1,4874,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11781954,Mirosław Tomczak,athletes,real,1,60,1,1537,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11696186,Edward Jakubowicz,athletes,real,1,107,1,3731,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11789996,Natalia Surma,athletes,real,1,77,1,2415,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11755073,Leszek Powiecko,athletes,real,1,80,1,2436,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q19467717,Karolina Półrola,athletes,real,1,110,2,3269,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11749179,Krzysztof Drajski,athletes,real,1,69,1,5289,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q125791520,Natalia Stawicka,athletes,real,1,92,1,3967,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q24431451,Jadwiga Pietkiewicz,athletes,real,1,91,2,2526,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q20165637,Krzysztof Miara (lekkoatleta),athletes,real,1,89,1,3768,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11715925,Jadwiga Majka,athletes,real,1,91,1,4090,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11779677,Mieczysław Bręczewski,athletes,real,1,105,1,4383,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16563884,Juliusz Firkowski,athletes,real,1,64,2,2328,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q20640281,Mirosław Kuczyński,athletes,real,1,103,4,4312,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q111710886,Agnieszka Modelska,athletes,real,1,110,1,4756,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11779229,Michał Smeja,athletes,real,1,104,1,2569,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11724942,Jerzy Kuszakiewicz,athletes,real,1,109,1,3129,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q28057789,Erna Orzeł,athletes,real,1,107,1,4930,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q24431343,Paweł Pasiński,athletes,real,1,75,1,2914,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11785127,Monika Kołodziejska,athletes,real,1,87,1,4834,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11731040,Józef Nierzwicki,athletes,real,1,67,1,3052,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180738,Zbigniew Szczepański,athletes,real,1,59,1,2065,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11755085,Leszek Rzepakowski,athletes,real,1,103,1,6844,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q24431278,Bożena Haglauer,athletes,real,2,119,2,2675,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q140180446,Bogdan Wieczorek,athletes,real,2,140,1,3443,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11778733,Michał Filek,athletes,real,2,156,3,2883,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q17426399,Władysław Brzozowski (koszykarz),athletes,real,2,119,1,2349,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11769538,Marian Machowski,athletes,real,2,157,4,2201,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q471642,Hans Ziglarski,athletes,real,2,164,16,2528,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11778559,Michalina Wawrzynek,athletes,real,2,164,1,8646,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q19719653,Marek Zawiłowicz,athletes,real,2,115,1,3657,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q3190772,Jérémy Sopalski,athletes,real,2,127,5,2167,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q125761016,Mirela Damaschek,athletes,real,2,165,1,5150,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11729713,Justyna Rybak,athletes,real,2,124,1,3214,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q14436795,Katarzyna Michalska (piłkarka),athletes,real,2,149,1,2786,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q3785024,Henryk Sass,athletes,real,2,165,2,2238,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q20829517,Wincenty Wirski,athletes,real,2,170,1,2654,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q20028114,Adam Szanowicz,athletes,real,2,135,1,3706,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11715189,Jacek Arlet,athletes,real,2,121,3,4784,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q117393087,Wiktoria Duchnowska,athletes,real,2,134,1,6258,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q114057028,Antoni Ciszek,athletes,real,2,149,1,8641,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
