qid,entity,domain,kind,decile,pageviews_12m,sitelinks,article_len,in_v1,source,flags
Q16565190,Kamionka (Łukowa),cities,real,0,41,1,2240,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11697256,Eufemia (województwo łódzkie),cities,real,0,53,4,1626,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16608576,Szeligi Górne,cities,real,0,33,1,2600,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16586492,Pastwiska (Ruda),cities,real,0,20,1,2661,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16582194,Nietuja,cities,real,0,54,1,2296,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q18433992,Rynsztoki (Bąkowa),cities,real,0,25,1,1779,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q123380203,Nowe Przyłuski,cities,real,0,57,1,1981,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11816987,Pijanów-Kolonia,cities,real,0,48,1,1932,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16618724,Zakupniki (Żerniki Górne),cities,real,0,30,1,1982,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11800949,Osówka Dolna,cities,real,0,44,1,2658,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11741305,Kolonia od Bugaja,cities,real,0,49,2,2046,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q18424664,Podworzec (Jawór),cities,real,0,24,1,1970,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16562273,Jarugi (Broniszowice),cities,real,0,42,1,5061,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q15994053,Antonin (Szaniec),cities,real,0,42,1,1949,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16589153,Podosiny (Radkowice),cities,real,0,43,1,2242,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16556921,Hamrajów,cities,real,0,48,1,2187,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11719772,Janikówka (Sitnica),cities,real,0,46,5,1621,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q18424595,Podlesie (Styków),cities,real,0,33,1,2556,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16538396,Czesławice (Żerniki Górne),cities,real,0,37,1,1994,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16606407,Stara Wieś (Łagiewniki),cities,real,0,34,1,2025,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16618719,Zakupniki (Skorzów),cities,real,0,26,1,1961,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11755512,Leśniczówka (Różanna),cities,real,0,53,1,2409,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16588945,Podborze (Radkowice),cities,real,0,39,1,2242,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q15846297,Kąty Leśne,cities,real,0,51,1,1982,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11838393,Zdroje (Zwierzeńskie Pole),cities,real,0,46,3,1561,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q2035659,Czaplice-Piłaty,cities,real,0,52,4,2535,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11755504,Leśniczówka (Siedlec),cities,real,0,56,1,2857,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q1797466,Kępiec,cities,real,0,53,6,1631,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11711402,Ignaców (Pierzaki),cities,real,0,54,4,1986,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16622194,Żalówka,cities,real,0,30,1,2334,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11786363,Mroczków-Kapturów,cities,real,1,96,4,2170,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11754181,Leokadiew,cities,real,1,90,5,1344,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q15640954,Krzykomy,cities,real,1,72,5,2012,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11740401,Kmiczyn-Kolonia,cities,real,1,99,5,3552,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q2035847,Nowy Krysk,cities,real,1,102,8,2277,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11788254,Młyńsko (Sianowo),cities,real,1,58,4,2178,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11757701,Lipionka,cities,real,1,63,5,1592,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11770926,Marynka (województwo łódzkie),cities,real,1,58,4,1641,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16606426,Stara Wieś (powiat słupecki),cities,real,1,97,4,1899,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11744000,Koski Drugie,cities,real,1,102,5,1463,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11829950,Przydatki (województwo łódzkie),cities,real,1,65,4,1470,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11701230,Grabowa Góra (województwo kujawsko-pomorskie),cities,real,1,66,3,1778,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q1260559,Przymiarki (powiat świdwiński),cities,real,1,98,10,1556,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16597993,Rudy (województwo świętokrzyskie),cities,real,1,83,1,2611,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11763341,Lucjanów (województwo mazowieckie),cities,real,1,101,7,2766,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16543413,Eliaszówka (wieś w Polsce),cities,real,1,81,4,3587,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q10749243,Lipówiec (województwo mazowieckie),cities,real,1,88,8,2231,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q2036819,Budy Gutarzewskie,cities,real,1,100,7,2297,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11695327,Duszoty,cities,real,1,58,5,1407,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16616113,Wojdat Annowski,cities,real,1,61,5,1923,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11743947,Korzeniewo (województwo kujawsko-pomorskie),cities,real,1,76,4,1682,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11763599,Ludwichowo (Szonowo),cities,real,1,71,3,1407,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q1091824,Cieszyno (powiat świdwiński),cities,real,1,102,9,1310,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11701185,Gościniec (Rudka Starościańska),cities,real,1,77,2,2591,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16582833,Nowa Ruda (Szwedy),cities,real,1,66,1,2760,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11738598,Kaźmierków,cities,real,1,100,5,2107,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11686581,Apolinów,cities,real,1,80,5,2054,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11752006,Kępa (województwo łódzkie),cities,real,1,70,5,1596,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11821140,Pogąsty,cities,real,1,61,1,3374,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16619939,Zelejowa w Łąkach,cities,real,1,89,1,2421,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11701429,Grodzick-Ołdaki,cities,real,2,138,5,2822,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q2035637,Wichorowo,cities,real,2,147,7,2257,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q16616100,Wojciechów (powiat starachowicki),cities,real,2,110,4,2671,False,category,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
