qid,entity,domain,kind,decile,pageviews_12m,sitelinks,article_len,in_v1,source,flags
Q9175350,Bogdan Trochanowski,musicians,real,0,95,1,2535,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q124052960,Franciszek Jamrozy,musicians,real,0,158,1,5921,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q4259227,Józef Lehrer,musicians,real,0,91,4,4420,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q7442489,Sebastian Niedziela,musicians,real,0,191,3,4158,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q15966362,Wacław Stefan Lewandowski,musicians,real,0,188,1,5706,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9147548,Alfons Pellowski,musicians,real,0,115,1,5829,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q56340899,Irena Rolanowska,musicians,real,0,179,1,5369,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11736314,Karol Stohl,musicians,real,0,138,1,3081,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q47008511,Tadeusz Ortyl,musicians,real,0,141,2,13415,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q5491697,Jarosław Gajczuk-Zawadzki,musicians,real,0,144,2,2056,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11738052,Kazimierz Krzyształowicz,musicians,real,0,178,2,3387,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q34622034,Józef Szabliński,musicians,real,0,84,3,4112,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11730213,Józef Gabzdyl,musicians,real,0,77,1,3245,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q5993652,Igor S. Korntayer,musicians,real,0,126,2,4180,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q1358850,Katarzyna Myćka,musicians,real,0,187,5,4976,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q28123958,Walenty Kosmalski,musicians,real,0,152,2,5696,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q325610,Will Sanders,musicians,real,0,73,7,7730,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q85133370,Małgorzata Furche-Jurczyk,musicians,real,0,157,1,3685,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9354525,Tadeusz Kwieciński,musicians,real,0,186,1,8434,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q123171366,Jerzy Bartoszewicz,musicians,real,0,143,1,3188,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q7944839,Jan Drzewoski,musicians,real,0,70,1,3051,True,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9381736,Władysław Bukowiecki,musicians,real,0,129,2,5490,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q214404,Joseph Rosenstock,musicians,real,0,77,10,4841,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q56255615,Agata Hołdyk,musicians,real,0,174,1,6528,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q105702504,Witold Rychter (aktor),musicians,real,0,105,2,5638,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11714695,Izabela Targońska,musicians,real,0,168,1,5560,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q105883298,Monika Sikorska-Wojtacha,musicians,real,0,169,1,3604,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q111144381,Monika Sadkowska,musicians,real,0,161,10,5510,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9251333,Edwin Golnik,musicians,real,0,86,1,5125,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11770561,Marta Dąbrowska (muzyk),musicians,real,0,168,1,3760,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q1052928,Celina Muza,musicians,real,1,312,2,3372,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q7282462,Rafał Stradomski,musicians,real,1,255,3,7158,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q97163256,Joanna Mądroszkiewicz,musicians,real,1,254,1,5368,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11739854,Klaudia Pasternak,musicians,real,1,325,5,10515,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q24009862,Zbigniew Wiszniewski,musicians,real,1,207,3,8004,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q124541026,Bogusław Michalonek,musicians,real,1,227,1,3433,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11736332,Karol Teutsch,musicians,real,1,301,1,2478,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11767594,Marcin Jan Mrowca,musicians,real,1,297,1,2412,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q60836665,Jerzy Rachubiński,musicians,real,1,222,1,4166,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q118574803,Jerzy Tosik-Warszawiak,musicians,real,1,267,1,2885,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q60834434,Bartłomiej Kominek,musicians,real,1,330,1,2991,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q113556795,Kamil Szyłkiewicz,musicians,real,1,276,1,4665,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q104502059,Piotr Warzecha,musicians,real,1,207,1,5633,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q1326944,Jarosław Siwiński,musicians,real,1,224,2,7709,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q94136495,Jadwiga Romańska,musicians,real,1,327,1,7110,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11817375,Piotr Chołołowicz,musicians,real,1,263,2,7442,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q50413746,Sebastian Zawadzki,musicians,real,1,282,4,9089,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q85865784,Mateusz Franczak,musicians,real,1,292,2,5655,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q124215256,Jerzy Chruściński,musicians,real,1,210,2,5084,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q130484628,Sebastian Smoleń,musicians,real,1,251,1,4864,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q8861544,Czesław Grudziński,musicians,real,1,286,2,3762,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q15833894,Maria Szraiber,musicians,real,1,235,3,6490,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q4267414,Izydor Lotto,musicians,real,1,194,7,2828,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q138027484,Maciej Zimka,musicians,real,1,198,2,17187,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q2587286,Włodzimierz Kenig,musicians,real,1,197,2,3488,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9155833,Anna Zawadzka-Gołosz,musicians,real,1,206,1,3605,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q461108,Anna Osmakowicz,musicians,real,1,318,10,4513,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q18630379,Ryszard Latecki,musicians,real,1,202,2,6290,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
