qid,entity,domain,kind,decile,pageviews_12m,sitelinks,article_len,in_v1,source,flags
Q19267239,Antoni Scheur,writers,real,0,120,2,4070,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9154687,Aniela Jasińska,writers,real,0,126,1,1378,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q19268809,Marzena Orczyk-Wiczkowska,writers,real,0,165,3,4824,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11684364,Adam Rzążewski,writers,real,0,156,1,3952,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9179976,Bronisława Wierusz-Kowalska,writers,real,0,171,3,4333,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q21288094,Martyna Buliżańska,writers,real,0,133,2,1973,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q100130921,Karolina Mycielska,writers,real,0,157,1,4606,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11778692,Michał Daniel Mordarski,writers,real,0,80,1,2832,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11725004,Jerzy Machonbaum,writers,real,0,49,1,5239,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q63284813,Tomasz Ważny (poeta),writers,real,0,69,2,3944,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q122649494,Bolesław Brzeziński,writers,real,0,166,1,4665,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9345361,Stefan Stefański (dziennikarz),writers,real,0,63,1,2199,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11769144,Maria Siedmiograj,writers,real,0,113,1,4345,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9344851,Stefan Arbatowski,writers,real,0,166,1,3895,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11698722,Franciszek Siwek,writers,real,0,55,1,1952,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11687756,Bernard Antochewicz,writers,real,0,173,2,2928,True,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q56340383,Edward Żółtowski (pułkownik),writers,real,0,95,1,5760,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q97456283,Janusz Stępowski,writers,real,0,17,1,9516,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11727468,Joanna Mossakowska,writers,real,0,89,1,1919,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q91882425,Ryszard Mieczysław Klisowski,writers,real,0,144,1,18690,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11762545,Longin Szparaga,writers,real,0,115,2,1452,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9388425,Zbigniew Zalewski (poeta),writers,real,0,134,1,2250,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q112454103,Lesław Pytka,writers,real,0,0,1,3375,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": true}"
Q126942279,Wera Sztabowa,writers,real,0,139,2,4265,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q7945903,Zofia Umerska,writers,real,0,78,1,5470,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9342700,Stanisław Obrzud (literat),writers,real,0,73,1,7138,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9310766,Robert Danel,writers,real,0,108,1,3203,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q85134155,Eligiusz Pieczyński,writers,real,0,75,1,4612,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11709027,Henryk Kuminek,writers,real,0,178,1,6405,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q105527771,Halina Golczowa,writers,real,0,110,2,3360,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q30604262,Zofia Pomian-Piętka,writers,real,1,189,1,3100,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9373632,Wiesław Wodecki,writers,real,1,225,2,7073,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9375691,Witold Juliusz Kapuściński,writers,real,1,251,1,5936,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9392991,Zygmunt Malewski,writers,real,1,223,1,10042,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q108271334,Paweł Baranowski (poeta),writers,real,1,248,1,4072,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11738108,Kazimierz Maria Kowalski,writers,real,1,242,1,1627,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9392854,Zygmunt Fijas,writers,real,1,210,2,2563,True,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q65097,Tadeusz Łada-Zabłocki,writers,real,1,241,7,4086,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11769588,Marian Niżyński,writers,real,1,244,2,4609,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q97372287,Maciej Jasiński (scenarzysta),writers,real,1,263,1,5070,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9341649,Stanisław Brandowski,writers,real,1,192,1,6720,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q25711422,Walery Wacław Wołodźko,writers,real,1,230,3,4583,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q26201792,Jan Biela,writers,real,1,263,2,5349,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q100591466,Marcin Radwański,writers,real,1,252,1,3937,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q523101,Teresa Borawska,writers,real,1,206,5,4037,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q28074779,Józefa Sawicka,writers,real,1,213,4,2824,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q7218959,Naftali Lau-Lawi,writers,real,1,261,6,3083,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9324636,Ryszard Chłopek,writers,real,1,237,2,6453,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11731577,Józef Wargin-Słomiński,writers,real,1,203,1,7474,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11717578,Jan Goślicki,writers,real,1,214,1,6038,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q65161530,Helena Witkowska,writers,real,1,242,2,13334,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q114680289,Olgierd Hurka,writers,real,1,210,2,3189,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q99628425,Mikołaj Rostworowski,writers,real,1,231,1,7162,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11813790,Paulina Korzeniewska,writers,real,1,277,1,3295,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q17326379,Stanisław Klimek (1903–1939),writers,real,1,267,3,6689,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q19268160,Janusz Wasylkowski,writers,real,1,282,3,4882,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11729271,Juliusz Dankowski,writers,real,1,240,2,1278,True,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11717900,Jan Kanty Podolecki,writers,real,1,258,2,4112,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9354167,Tadeusz Czajka (pisarz),writers,real,1,201,2,3916,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q19697859,Roman Bańkowski,writers,real,1,222,1,23327,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q65175377,Tadeusz Zawierucha,writers,real,2,296,2,9567,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11724388,Jerzy Bogdan Kos,writers,real,2,337,1,5178,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q18169991,Natalia Zarembina,writers,real,2,385,5,5136,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q2966306,Krzysztof Andrzej Jeżewski,writers,real,2,310,4,9421,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11729940,Józef Bieniek,writers,real,2,311,1,5655,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11715580,Jacek Soliński,writers,real,2,303,4,14080,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q42302569,Krzysztof Mrozowski,writers,real,2,385,1,8196,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11685919,Andrzej Jochelson,writers,real,2,286,2,13097,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q22807204,Janina Januszewska-Skreiberg,writers,real,2,286,1,8073,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9139749,Adam Kaska,writers,real,2,343,2,5171,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9389822,Zdzisław Pyzik,writers,real,2,363,1,4714,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9250990,Edward Kozikowski,writers,real,2,333,3,8224,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q65165152,Helena Ceysinger,writers,real,2,378,3,10485,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9376676,Wojciech Marek Darski,writers,real,2,316,1,6976,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9253453,Emil Biela,writers,real,2,312,4,10236,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11742907,Konstanty Górski (polityk),writers,real,2,307,2,4718,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9370285,Waldemar Żyszkiewicz,writers,real,2,380,1,4566,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q9387875,Zbigniew Florczak,writers,real,2,370,1,4272,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11836188,Stanisław Dąbrowski (pastor),writers,real,2,360,1,9821,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q27171776,Danuta Bartosz (poetka),writers,real,2,339,3,13868,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11685978,Andrzej Lipniewski,writers,real,2,319,2,6903,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q111358867,Paweł Mościcki,writers,real,2,304,2,5101,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q11725573,Jerzy Tomaszkiewicz,writers,real,2,289,2,15377,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q4978304,Jan Rompski,writers,real,2,340,5,21803,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
Q3918280,Michał Chodźko,writers,real,2,359,7,3281,False,sparql,"{""disambiguation_risk"": false, ""pageview_zero"": false}"
